Year,Name,College,Position,Height,Weight,40_Yard,Bench_Press,Vertical_Leap,Broad_Jump,Shuttle,3_Cone
2019,J.K. Britt,North Carolina,FS,71.63,204,4.67,16.0,33.0,117.0,4.5,7.45
2019,Nate Brooks,North Texas,CB,71.88,187,4.62,11.0,40.5,127.0,4.07,6.65
2019,Nick Brossette,Louisiana State,RB,71.25,209,4.72,15.0,35.5,118.0,4.44,
2019,Cortez Broughton,Cincinnati,DT,74.25,293,4.98,24.0,33.5,113.0,4.57,7.65
2019,A.J. Brown,Mississippi,WR,72.5,226,4.49,19.0,36.5,120.0,4.25,7.0
2019,Blace Brown,Troy (Al),CB,72.38,194,4.75,14.0,37.5,126.0,4.22,6.97
2019,Chris Brown,Southern California,OG,76.75,300,5.49,21.0,29.0,108.0,4.9,7.59
2019,Jordan Brown,South Dakota State,CB,72.38,201,4.51,13.0,39.5,128.0,4.2,6.92
2019,Keenen Brown,Texas State,TE,74.5,250,4.75,17.0,33.0,117.0,4.51,
2019,Garrett Brumfield,Louisiana State,OG,74.63,289,5.19,24.0,33.0,112.0,4.51,7.59
2019,Isaiah Buggs,Alabama,DT,75.13,306,5.15,20.0,24.5,96.0,4.83,
2019,Ian Bunting,California,TE,78.5,247,4.93,17.0,35.0,123.0,4.39,7.31
2019,Sean Bunting,Central Michigan,CB,72.38,195,4.42,14.0,41.5,126.0,4.2,6.89
2019,Jesse Burkett,Stanford,C,76.0,303,5.55,23.0,25.0,102.0,5.06,8.28
2019,Ben Burr-Kirven,Washington,LB,72.13,230,4.56,21.0,34.5,121.0,4.09,
2019,Devin Bush,Michigan,LB,71.0,234,4.43,21.0,40.5,124.0,4.23,
2019,Emmanuel Butler,Northern Arizona,WR,75.0,217,4.75,11.0,36.0,115.0,4.22,7.41
2019,Hakeem Butler,Iowa State,WR,77.63,227,4.48,18.0,36.0,128.0,4.16,7.09
2019,Evan Butts,Virginia,TE,75.63,247,5.14,20.0,24.5,109.0,4.66,7.34
2019,Deion Calhoun,Mississippi State,OG,74.5,310,5.07,26.0,28.5,105.0,4.62,
2019,Parris Campbell,Ohio State,WR,71.88,205,4.31,11.0,40.0,135.0,4.03,
2019,Squally Canada,Brigham Young,RB,70.13,211,4.68,21.0,28.0,116.0,4.35,7.09
2019,Malik Carney,North Carolina,EDG,74.0,251,4.73,25.0,33.0,113.0,4.75,7.45
2019,Blake Cashman,Minnesota,LB,73.13,237,4.5,18.0,37.5,124.0,4.12,
2019,Rashard Causey,Central Florida,CB,71.13,188,4.4,15.0,32.5,121.0,4.45,7.49
2019,Hamp Cheevers,Boston College,CB,69.38,169,4.52,8.0,39.0,122.0,4.25,
2019,Juston Christian,Marist,WR,71.63,196,4.49,16.0,36.0,126.0,4.5,7.32
2019,Demarcus Christmas,Florida State,DT,75.75,294,5.08,22.0,25.5,101.0,5.07,7.94
2019,Kyle Chung,Virginia Tech,OG,74.75,302,5.48,31.0,29.5,106.0,4.82,7.77
2019,Khairi Clark,Florida,DT,73.0,309,5.38,25.0,24.5,92.0,4.99,8.03
2019,Tariq Cole,Rutgers,OT,77.75,324,5.43,27.0,25.0,105.0,4.9,7.84
2019,Nick Coleman,Notre Dame,FS,71.63,194,4.63,14.0,36.0,121.0,4.27,6.96
2019,L.J. Collier,Texas Christian,DE,74.25,283,4.91,25.0,30.0,118.0,4.78,
2019,John Cominsky,Charleston (Wv),DE,77.38,286,4.69,22.0,33.5,116.0,4.38,
2019,Te'Von Coney,Notre Dame,LB,72.88,234,4.74,16.0,32.5,116.0,4.45,7.33
2019,Ryan Connelly,Wisconsin,LB,74.13,242,4.66,17.0,34.5,118.0,4.31,
2019,C.J. Conrad,Kentucky,TE,76.5,249,4.8,21.0,33.0,113.0,4.41,7.14
2019,Josh Corcoran,Northern Illinois,DE,74.63,243,4.89,23.0,29.0,116.0,4.56,7.69
2019,Byron Cowart,Maryland,DT,75.0,298,5.16,26.0,30.0,111.0,4.62,7.66
2019,Chandler Cox,Auburn,FB,72.75,236,4.8,18.0,32.0,111.0,4.32,7.31
2019,Jonathan Crawford,Indiana,S,73.25,205,4.73,16.0,31.5,115.0,4.4,7.15
2019,Xavier Crawford,Central Michigan,CB,70.88,187,4.48,11.0,37.5,,,
2019,Damarea Crockett,Missouri,RB,69.75,225,4.5,21.0,37.0,119.0,4.32,7.43
2019,K.C. Crosby,South Carolina,FB,72.63,236,4.8,21.0,30.0,120.0,4.48,7.43
2019,Maxx Crosby,Eastern Michigan,EDG,76.88,255,4.66,18.0,36.0,122.0,4.13,
2019,Micky Crum,Louisville,TE,76.38,246,4.98,15.0,31.0,106.0,4.66,7.22
2019,Austin Cutting,Air Force,LS,75.5,243,5.16,19.0,27.5,100.0,4.32,7.19
2019,Dennis Daley,South Carolina,OT,77.0,317,5.23,20.0,26.5,103.0,4.92,
2019,Jalen Dalton,North Carolina,DE,77.75,283,4.81,21.0,32.5,118.0,4.56,7.45
2019,Davante Davis,Texas,CB,74.13,202,4.57,14.0,37.0,125.0,4.15,
2019,Deshaun Davis,Auburn,LB,71.38,234,4.77,25.0,31.0,111.0,4.38,7.32
2019,Jamal Davis,Akron,EDG,75.13,243,4.6,19.0,39.0,122.0,4.44,
