Fumbles Lost,Games Played,Player Name,Position,Team,Passing Yards,Rushing Yards,Receiving Yards,Passing TDs,Rushing TDs,Receiving TDs,Total Yards
2.0,16.0,Carlos Hyde,RB,HOU,0.0,1070.0,42.0,,,,1112.0
0.0,12.0,Tyreek Hill,WR,KAN,0.0,23.0,860.0,,,,883.0
1.0,12.0,Davante Adams,WR,GNB,0.0,0.0,997.0,,,,997.0
1.0,16.0,Sony Michel,RB,NWE,0.0,912.0,94.0,,,,1006.0
1.0,16.0,Tom Brady,QB,NWE,4057.0,34.0,0.0,,,,4091.0
1.0,16.0,Jason Witten,TE,DAL,0.0,0.0,529.0,,,,529.0
0.0,10.0,Michael Burton,0,WAS,0.0,0.0,0.0,,,,0.0
5.0,16.0,Jared Goff,QB,LAR,4638.0,40.0,0.0,,,,4678.0
5.0,16.0,Jimmy Garoppolo,QB,SFO,3978.0,62.0,0.0,,,,4040.0
3.0,16.0,Derek Carr,QB,OAK,4054.0,82.0,0.0,,,,4136.0
3.0,15.0,Kirk Cousins,QB,MIN,3603.0,63.0,0.0,,,,3666.0
2.0,15.0,Ryan Fitzpatrick,QB,MIA,3529.0,243.0,0.0,,,,3772.0
3.0,16.0,Philip Rivers,QB,LAC,4615.0,29.0,0.0,,,,4644.0
2.0,16.0,Baker Mayfield,QB,CLE,3827.0,141.0,0.0,,,,3968.0
7.0,14.0,Gardner Minshew,QB,JAX,3271.0,344.0,0.0,,,,3615.0
0.0,11.0,Drew Brees,QB,NOR,2979.0,-4.0,0.0,,,,2975.0
3.0,12.0,Ryan Tannehill,QB,TEN,2742.0,185.0,0.0,,,,2927.0
5.0,15.0,Jacoby Brissett,QB,IND,2942.0,228.0,2.0,,,,3172.0
11.0,13.0,Daniel Jones,QB,NYG,3027.0,279.0,0.0,,,,3306.0
4.0,13.0,Andy Dalton,QB,CIN,3494.0,73.0,-4.0,,,,3563.0
2.0,15.0,Mitchell Trubisky,QB,CHI,3138.0,193.0,0.0,,,,3331.0
3.0,13.0,Sam Darnold,QB,NYJ,3024.0,62.0,0.0,,,,3086.0
7.0,13.0,Kyle Allen,QB,CAR,3322.0,106.0,0.0,,,,3428.0
3.0,8.0,Matthew Stafford,QB,DET,2499.0,66.0,0.0,,,,2565.0
2.0,14.0,Devonta Freeman,RB,ATL,0.0,656.0,410.0,,,,1066.0
3.0,12.0,Melvin Gordon,RB,LAC,0.0,612.0,296.0,,,,908.0
2.0,16.0,Ronald Jones,RB,TAM,0.0,724.0,309.0,,,,1033.0
2.0,15.0,Adrian Peterson,RB,WAS,0.0,898.0,142.0,,,,1040.0
3.0,16.0,D.K. Metcalf,WR,SEA,0.0,11.0,900.0,,,,911.0
1.0,15.0,James White,RB,NWE,35.0,263.0,645.0,,,,943.0
1.0,16.0,Odell Beckham,WR,CLE,20.0,10.0,1035.0,,,,1065.0
0.0,17.0,Emmanuel Sanders,WR,2TM,35.0,0.0,869.0,,,,904.0
0.0,16.0,Latavius Murray,RB,NOR,0.0,637.0,235.0,,,,872.0
0.0,14.0,Darius Slayton,WR,NYG,0.0,0.0,740.0,,,,740.0
0.0,16.0,Jamison Crowder,WR,NYJ,0.0,4.0,833.0,,,,837.0
1.0,12.0,Devin Singletary,RB,BUF,0.0,775.0,194.0,,,,969.0
0.0,15.0,Cole Beasley,WR,BUF,0.0,0.0,778.0,,,,778.0
0.0,16.0,Curtis Samuel,WR,CAR,0.0,130.0,627.0,,,,757.0
0.0,14.0,Tevin Coleman,RB,SFO,0.0,544.0,180.0,,,,724.0
1.0,10.0,James Conner,RB,PIT,0.0,464.0,251.0,,,,715.0
0.0,15.0,Mike Williams,WR,LAC,0.0,2.0,1001.0,,,,1003.0
1.0,11.0,Damien Williams,RB,KAN,0.0,498.0,213.0,,,,711.0
0.0,16.0,Robby Anderson,WR,NYJ,0.0,4.0,779.0,,,,783.0
0.0,16.0,Chris Conley,WR,JAX,0.0,0.0,775.0,,,,775.0
1.0,16.0,Duke Johnson,RB,HOU,0.0,410.0,410.0,,,,820.0
0.0,10.0,Mason Rudolph,QB,PIT,1765.0,42.0,0.0,,,,1807.0
0.0,14.0,Jamaal Williams,RB,GNB,0.0,460.0,253.0,,,,713.0
1.0,13.0,David Johnson,RB,ARI,0.0,345.0,370.0,,,,715.0
2.0,16.0,Diontae Johnson,WR,PIT,0.0,41.0,680.0,,,,721.0
3.0,10.0,Case Keenum,QB,WAS,1707.0,12.0,0.0,,,,1719.0
1.0,11.0,Golden Tate,WR,NYG,0.0,16.0,676.0,,,,692.0
1.0,16.0,Larry Fitzgerald,WR,ARI,0.0,0.0,804.0,,,,804.0
0.0,14.0,Breshad Perriman,WR,TAM,0.0,16.0,645.0,,,,661.0
1.0,16.0,Peyton Barber,RB,TAM,0.0,470.0,115.0,,,,585.0
0.0,10.0,Jordan Howard,RB,PHI,0.0,525.0,69.0,,,,594.0
0.0,14.0,Tyrell Williams,WR,OAK,0.0,0.0,651.0,,,,651.0
0.0,14.0,Marquise Brown,WR,BAL,0.0,0.0,584.0,,,,584.0
1.0,15.0,Randall Cobb,WR,DAL,0.0,11.0,828.0,,,,839.0
0.0,13.0,Christian Kirk,WR,ARI,0.0,93.0,709.0,,,,802.0
0.0,16.0,Royce Freeman,RB,DEN,0.0,496.0,256.0,,,,752.0
2.0,16.0,Mecole Hardman,WR,KAN,0.0,17.0,538.0,,,,555.0
0.0,16.0,Zach Pascal,WR,IND,0.0,16.0,607.0,,,,623.0
2.0,13.0,LeSean McCoy,RB,KAN,0.0,465.0,181.0,,,,646.0
0.0,15.0,Dede Westbrook,WR,JAX,0.0,27.0,660.0,,,,687.0
0.0,9.0,Teddy Bridgewater,QB,NOR,1384.0,31.0,0.0,,,,1415.0
1.0,15.0,James Washington,WR,PIT,0.0,0.0,735.0,,,,735.0
1.0,14.0,Sammy Watkins,WR,KAN,0.0,12.0,673.0,,,,685.0
1.0,16.0,Gus Edwards,RB,BAL,0.0,711.0,45.0,,,,756.0
0.0,16.0,DeAndre Washington,RB,OAK,0.0,387.0,292.0,,,,679.0
0.0,16.0,Tarik Cohen,RB,CHI,0.0,213.0,456.0,,,,669.0
3.0,8.0,Joe Flacco,QB,DEN,1822.0,20.0,0.0,,,,1842.0
0.0,11.0,Will Fuller,WR,HOU,0.0,0.0,670.0,,,,670.0
0.0,7.0,Marcus Mariota,QB,TEN,1203.0,129.0,0.0,,,,1332.0
0.0,13.0,Hunter Renfrow,WR,OAK,0.0,0.0,605.0,,,,605.0
0.0,10.0,Sterling Shepard,WR,NYG,0.0,72.0,576.0,,,,648.0
1.0,13.0,Matt Breida,RB,SFO,0.0,623.0,120.0,,,,743.0
0.0,10.0,Adam Thielen,WR,MIN,0.0,6.0,418.0,,,,424.0
0.0,16.0,Taysom Hill,QB,NOR,55.0,156.0,234.0,,,,445.0
